"age","annualincome","calldroprate","callfailurerate","customersuspended","education","gender","homeowner","maritalstatus","monthlybilledamount","complaints","unpaidmonths","timetoexpiration","occupation","penaltytoswitch","lastmonthusage","unpaidbalance","usesinternetservice","usesvoiceservice","outsidecalls","totalcallduration","avgcallduration","churn"
50,23724,0.05,0,"Yes","Bachelor or equivalent","Female","Yes","Single",2,3,3,0,"Others",437,41,164,"No","Yes",0.43,4798,799,"0"
24,63295,0,0.02,"Yes","Bachelor or equivalent","Female","Yes","Single",20,1,3,22,"Others",83,14,179,"No","No",0.23,6206,620,"1"
55,146984,0.06,0,"Yes","Master or equivalent","Female","No","Married",16,1,6,12,"Technology Related Job",338,48,81,"No","Yes",0.8,3716,619,"0"
20,207011,0.02,0.01,"Yes","High School or below","Male","Yes","Married",44,2,3,89,"Non-technology Related Job",284,121,76,"No","No",0.79,4433,886,"1"
28,151825,0.01,0.03,"Yes","High School or below","Female","No","Married",112,0,0,54,"Others",245,382,148,"No","No",0.39,6127,875,"1"
31,152359,0.03,0.02,"Yes","High School or below","Female","Yes","Married",80,3,5,68,"Non-technology Related Job",86,155,205,"No","No",0.14,1094,1094,"1"
31,247058,0.02,0.01,"Yes","Bachelor or equivalent","Female","Yes","Married",53,0,0,15,"Others",356,260,157,"No","No",0.45,4357,726,"1"
53,245280,0.03,0.03,"Yes","High School or below","Female","Yes","Married",0,0,7,76,"Non-technology Related Job",178,131,103,"No","No",0.25,3621,905,"0"
19,244312,0.07,0.03,"Yes","High School or below","Male","Yes","Married",74,1,1,69,"Technology Related Job",58,19,186,"No","No",0.99,4152,692,"0"
28,157652,0.03,0,"Yes","High School or below","Female","Yes","Single",85,1,3,76,"Others",472,214,160,"No","No",0.38,3111,388,"0"
35,175317,0.03,0.03,"Yes","High School or below","Male","Yes","Married",104,2,5,86,"Non-technology Related Job",40,415,145,"No","No",0.59,6623,827,"0"
16,136479,0.02,0.01,"Yes","High School or below","Female","Yes","Married",39,2,5,40,"Non-technology Related Job",404,360,4,"No","No",0.11,2828,404,"0"
57,96111,0.03,0.01,"Yes","High School or below","Female","Yes","Single",106,0,5,71,"Non-technology Related Job",112,424,61,"Yes","No",0.33,2547,509,"0"
12,110783,0.07,0.01,"No","High School or below","Male","Yes","Single",82,3,0,18,"Technology Related Job",359,135,74,"No","No",0.18,2696,449,"1"
27,101592,0.07,0.02,"Yes","High School or below","Female","Yes","Married",71,2,5,11,"Others",171,19,33,"No","No",0.99,415,415,"1"
74,126821,0.05,0,"Yes","High School or below","Male","Yes","Married",83,0,6,72,"Technology Related Job",495,355,128,"No","No",0.03,1995,665,"0"
27,179020,0.01,0.03,"Yes","High School or below","Male","Yes","Single",17,0,4,87,"Others",421,381,64,"No","No",0.05,3372,562,"1"
38,211847,0.07,0.02,"Yes","Bachelor or equivalent","Male","Yes","Married",7,3,0,66,"Others",444,401,244,"No","No",0.3,6252,893,"0"
16,234863,0.03,0.02,"Yes","Master or equivalent","Male","Yes","Married",95,2,3,16,"Technology Related Job",354,45,95,"No","Yes",0.74,343,171,"0"
67,138135,0.01,0,"Yes","Master or equivalent","Male","Yes","Married",33,1,6,99,"Technology Related Job",29,337,11,"No","No",0.76,2106,421,"0"
51,130446,0,0,"Yes","High School or below","Male","Yes","Married",36,2,5,13,"Non-technology Related Job",302,106,195,"No","No",0.57,3810,952,"0"
48,134027,0.07,0,"Yes","High School or below","Male","Yes","Single",10,3,4,34,"Non-technology Related Job",131,420,68,"No","No",0.48,4678,779,"1"
52,11641,0.02,0.03,"Yes","High School or below","Male","Yes","Married",78,2,5,50,"Technology Related Job",493,369,100,"No","No",0.12,3661,610,"0"
22,245738,0.07,0.02,"Yes","High School or below","Male","Yes","Married",74,1,5,85,"Others",362,134,220,"No","No",0.87,2095,698,"1"
14,25332,0.02,0.03,"Yes","High School or below","Male","Yes","Single",37,2,7,6,"Others",209,414,236,"No","No",0.75,4695,782,"0"
55,236284,0,0,"Yes","Bachelor or equivalent","Male","Yes","Single",116,3,6,44,"Others",369,328,60,"No","No",0.45,3302,471,"1"
66,208844,0.02,0.03,"Yes","High School or below","Female","No","Single",94,1,3,51,"Non-technology Related Job",89,24,53,"Yes","No",0.69,2319,773,"0"
75,61118,0.03,0.03,"Yes","Master or equivalent","Male","Yes","Single",116,1,4,57,"Non-technology Related Job",69,96,243,"No","No",0.89,275,91,"1"
18,118716,0.05,0.03,"Yes","Bachelor or equivalent","Male","Yes","Married",77,0,0,65,"Non-technology Related Job",191,170,231,"No","No",0.47,839,279,"0"
30,117184,0.05,0.03,"Yes","Bachelor or equivalent","Female","Yes","Married",22,1,7,86,"Technology Related Job",117,345,19,"No","No",0.37,7814,781,"1"
32,247503,0.01,0.02,"Yes","Bachelor or equivalent","Female","No","Single",69,2,7,16,"Others",87,431,145,"No","No",0.01,6918,988,"0"
13,202094,0,0.03,"Yes","Master or equivalent","Male","No","Single",54,0,2,43,"Non-technology Related Job",220,17,69,"No","No",0.07,4428,1107,"1"
28,48360,0.02,0.02,"Yes","Bachelor or equivalent","Male","No","Married",62,2,1,63,"Non-technology Related Job",71,391,216,"No","Yes",0.25,2835,472,"1"
43,202940,0.07,0.02,"Yes","High School or below","Female","Yes","Single",74,2,4,47,"Non-technology Related Job",246,199,20,"No","No",0.68,3741,1247,"0"
26,73417,0.06,0,"Yes","Bachelor or equivalent","Female","Yes","Single",63,0,5,64,"Others",423,76,72,"No","No",0.01,5755,719,"1"
44,186595,0.02,0.01,"Yes","PhD or equivalent","Female","Yes","Married",34,0,6,68,"Others",172,125,221,"No","No",0.04,3401,850,"1"
70,176731,0.06,0,"Yes","Master or equivalent","Female","Yes","Single",46,0,2,94,"Others",390,198,50,"No","No",0.42,5906,984,"0"
67,78558,0.07,0.03,"Yes","High School or below","Female","No","Married",1,1,1,11,"Others",102,266,73,"No","Yes",0.52,1032,1032,"0"
77,19758,0.07,0.02,"Yes","Bachelor or equivalent","Male","Yes","Single",21,0,1,65,"Others",251,385,126,"No","No",0.74,325,325,"0"
35,128786,0.05,0,"Yes","High School or below","Female","No","Married",63,0,4,66,"Others",388,297,119,"No","No",0.74,1725,862,"1"
49,64264,0.06,0,"Yes","High School or below","Male","Yes","Single",99,3,6,7,"Others",161,348,177,"No","No",0.39,2593,648,"1"
24,102232,0,0.01,"Yes","Bachelor or equivalent","Male","Yes","Single",61,1,2,10,"Others",323,280,189,"No","No",0.05,3432,686,"0"
27,233461,0.03,0.03,"Yes","Bachelor or equivalent","Female","Yes","Single",57,3,0,38,"Technology Related Job",497,372,239,"No","No",0.07,3173,453,"0"
52,38853,0.02,0.02,"Yes","High School or below","Female","Yes","Married",19,0,0,78,"Others",411,33,214,"No","No",0.01,3472,578,"0"
20,248161,0.04,0.01,"Yes","High School or below","Female","Yes","Single",9,1,0,88,"Non-technology Related Job",440,78,79,"No","No",0.21,583,583,"1"
34,199125,0.06,0,"Yes","PhD or equivalent","Female","No","Single",7,2,0,96,"Technology Related Job",307,190,105,"No","No",0.83,4863,607,"0"
28,75125,0.04,0,"Yes","Bachelor or equivalent","Male","Yes","Single",108,1,4,90,"Non-technology Related Job",257,383,92,"No","No",0.57,2544,636,"1"
28,36634,0.03,0.02,"Yes","High School or below","Male","Yes","Married",83,3,4,3,"Non-technology Related Job",248,287,71,"No","No",0.32,1301,433,"1"
24,245081,0.06,0.01,"Yes","High School or below","Male","No","Single",48,1,0,91,"Others",469,209,117,"No","No",0.58,6785,969,"0"
30,184653,0.02,0.01,"Yes","Master or equivalent","Female","Yes","Married",16,1,0,11,"Others",228,124,159,"No","No",0.55,4873,696,"0"
58,157623,0.06,0.02,"Yes","Bachelor or equivalent","Male","Yes","Single",110,3,6,73,"Non-technology Related Job",277,219,83,"No","No",0.09,1304,260,"1"
74,96652,0.05,0,"Yes","Master or equivalent","Male","Yes","Married",119,0,3,27,"Non-technology Related Job",159,474,98,"No","No",0.06,2888,577,"0"
34,212470,0.07,0.01,"Yes","Master or equivalent","Male","Yes","Single",80,1,6,70,"Non-technology Related Job",355,498,201,"No","No",0.13,5094,727,"1"
35,59251,0.07,0.01,"Yes","High School or below","Female","Yes","Single",79,2,1,27,"Technology Related Job",322,143,40,"No","No",0.62,3792,758,"1"
20,184061,0.04,0.02,"Yes","High School or below","Male","Yes","Married",99,1,1,92,"Others",496,360,197,"No","No",0.22,5249,749,"1"
71,15602,0.02,0.03,"Yes","High School or below","Male","No","Married",46,0,2,20,"Technology Related Job",432,471,239,"Yes","No",0.73,6671,741,"0"
39,103875,0.02,0.01,"Yes","High School or below","Female","No","Single",117,2,5,62,"Non-technology Related Job",496,426,67,"No","No",0.64,1758,879,"1"
29,175423,0.01,0.03,"Yes","Bachelor or equivalent","Male","Yes","Single",6,2,6,71,"Others",350,403,243,"No","No",0.9,3612,903,"0"
14,201720,0.04,0.02,"Yes","PhD or equivalent","Female","Yes","Single",72,2,1,59,"Technology Related Job",357,284,202,"No","No",0.44,7139,1019,"0"
21,203397,0.01,0.03,"Yes","PhD or equivalent","Female","No","Married",115,3,6,78,"Others",472,479,57,"No","No",0.41,2684,447,"1"
33,244634,0.05,0.03,"Yes","Bachelor or equivalent","Female","No","Married",118,0,4,12,"Technology Related Job",278,316,48,"No","No",0.11,3159,789,"0"
75,71224,0.01,0.02,"Yes","High School or below","Male","Yes","Married",2,0,6,4,"Non-technology Related Job",167,494,188,"No","No",0.44,1556,778,"0"
51,1965,0.02,0.01,"Yes","High School or below","Female","Yes","Single",51,1,3,10,"Technology Related Job",384,478,196,"No","No",0.91,7959,994,"0"
49,148857,0.07,0.01,"Yes","High School or below","Female","No","Married",66,2,6,7,"Non-technology Related Job",332,55,183,"No","No",0.15,1708,569,"0"
16,160805,0.06,0.01,"Yes","Bachelor or equivalent","Male","Yes","Married",113,0,6,68,"Non-technology Related Job",271,244,73,"No","No",0.86,2886,721,"0"
46,159156,0.06,0.02,"Yes","High School or below","Male","Yes","Single",45,1,7,52,"Technology Related Job",351,44,45,"No","No",0.19,1254,1254,"0"
18,105670,0.01,0.02,"Yes","High School or below","Male","Yes","Married",86,2,4,96,"Non-technology Related Job",416,219,69,"No","No",0.07,2039,679,"0"
13,22075,0.05,0.01,"Yes","High School or below","Male","Yes","Single",54,1,4,83,"Non-technology Related Job",18,341,136,"No","No",0.76,1159,579,"0"
65,92707,0.04,0.02,"Yes","Bachelor or equivalent","Male","Yes","Married",34,0,1,75,"Non-technology Related Job",3,314,77,"Yes","No",0.78,3023,604,"0"
76,94674,0,0.01,"Yes","Bachelor or equivalent","Male","Yes","Married",81,2,0,25,"Others",313,201,229,"No","No",0.29,2935,489,"1"
37,184173,0.07,0,"Yes","Bachelor or equivalent","Male","Yes","Single",13,3,7,42,"Others",54,403,194,"No","No",0.61,4203,1050,"1"
27,205357,0.04,0,"Yes","High School or below","Female","Yes","Single",83,1,6,8,"Non-technology Related Job",117,367,149,"No","No",0.04,5339,889,"1"
67,200076,0.01,0.01,"Yes","High School or below","Male","Yes","Single",16,1,7,8,"Non-technology Related Job",184,138,73,"No","Yes",0.85,6214,887,"0"
30,116738,0.06,0.03,"Yes","Master or equivalent","Male","Yes","Married",6,3,0,85,"Technology Related Job",386,175,31,"No","No",0.8,4543,757,"0"
74,185822,0.07,0.03,"Yes","Master or equivalent","Male","Yes","Married",81,1,6,58,"Technology Related Job",474,103,222,"No","No",0.28,3084,771,"0"
62,198133,0.07,0.03,"No","Bachelor or equivalent","Male","Yes","Single",85,3,5,73,"Non-technology Related Job",281,415,180,"No","No",0.45,5443,907,"1"
15,51887,0.01,0,"Yes","High School or below","Female","Yes","Single",73,3,5,39,"Others",232,153,247,"No","No",0.35,5446,680,"1"
21,25444,0.07,0.03,"Yes","High School or below","Male","Yes","Single",105,2,1,33,"Others",225,179,64,"No","No",0.05,3915,978,"1"
18,157207,0.06,0.01,"Yes","Master or equivalent","Female","Yes","Single",102,2,0,52,"Non-technology Related Job",200,266,2,"No","Yes",0.71,4324,617,"1"
66,77220,0.03,0.03,"Yes","Master or equivalent","Female","Yes","Single",72,2,3,8,"Others",408,254,108,"No","No",0.81,6551,727,"0"
49,31154,0,0.02,"Yes","High School or below","Male","No","Married",31,0,1,40,"Others",148,415,179,"No","No",0.57,2330,466,"0"
53,46518,0.03,0.02,"Yes","High School or below","Female","Yes","Married",54,2,0,27,"Technology Related Job",190,323,102,"No","No",0.99,6431,803,"0"
35,109467,0,0.03,"Yes","Master or equivalent","Female","No","Single",83,3,6,75,"Technology Related Job",154,341,206,"No","No",0.79,2222,555,"1"
39,65830,0,0.03,"Yes","Master or equivalent","Male","Yes","Single",108,3,4,76,"Non-technology Related Job",218,1,35,"No","No",0.96,4117,823,"1"
17,171802,0.01,0,"Yes","Master or equivalent","Male","Yes","Married",32,3,7,17,"Technology Related Job",332,484,244,"No","No",0.54,1706,568,"1"
57,57174,0.03,0.03,"Yes","High School or below","Female","Yes","Married",65,0,6,82,"Non-technology Related Job",371,158,52,"No","No",0.51,4321,720,"0"
24,236166,0.04,0.02,"Yes","PhD or equivalent","Female","Yes","Single",36,1,7,52,"Technology Related Job",105,8,83,"Yes","No",0.08,5940,990,"0"
46,185922,0,0,"Yes","High School or below","Male","Yes","Married",90,0,2,79,"Others",37,36,170,"No","No",0.51,6780,847,"0"
54,433,0.04,0.03,"Yes","Bachelor or equivalent","Female","Yes","Single",29,2,6,8,"Non-technology Related Job",270,375,64,"No","No",0.71,203,203,"0"
37,145236,0.07,0.02,"Yes","High School or below","Female","No","Single",92,3,7,53,"Others",313,136,185,"No","No",0.79,7458,1243,"0"
57,57473,0.01,0.03,"Yes","Master or equivalent","Male","Yes","Married",27,2,1,88,"Others",144,14,236,"No","No",0.42,2790,558,"0"
52,109133,0.05,0.01,"Yes","High School or below","Male","Yes","Single",101,2,4,24,"Technology Related Job",480,213,215,"No","No",0.61,6151,768,"0"
40,123510,0.06,0.01,"Yes","Bachelor or equivalent","Female","Yes","Married",95,2,5,54,"Non-technology Related Job",244,401,112,"No","No",0.74,37,37,"0"
18,164225,0.05,0.02,"Yes","High School or below","Female","Yes","Single",68,2,5,81,"Non-technology Related Job",162,296,175,"No","No",0.75,317,317,"0"
21,61869,0,0,"Yes","Bachelor or equivalent","Male","Yes","Single",20,1,0,6,"Non-technology Related Job",279,399,145,"No","No",0.35,1834,611,"1"
31,47274,0.03,0.03,"Yes","High School or below","Female","Yes","Single",57,1,4,63,"Others",188,459,73,"No","No",0.62,6209,887,"0"
26,221572,0.01,0,"Yes","Master or equivalent","Male","No","Married",106,3,0,86,"Non-technology Related Job",474,290,92,"No","No",0.25,2248,749,"1"
61,223578,0.05,0,"Yes","Bachelor or equivalent","Female","Yes","Married",119,3,1,91,"Non-technology Related Job",15,59,39,"No","No",0.31,2650,662,"1"
15,126075,0.06,0.02,"Yes","High School or below","Female","Yes","Married",71,1,0,88,"Technology Related Job",33,106,125,"No","No",0.66,5043,630,"1"
26,151291,0.07,0.01,"Yes","Bachelor or equivalent","Male","Yes","Single",25,1,3,41,"Non-technology Related Job",404,109,90,"No","No",0.65,1728,864,"0"
31,68213,0.02,0.01,"Yes","High School or below","Male","Yes","Single",10,2,4,68,"Others",147,119,186,"No","No",0.95,2697,539,"0"
77,47861,0.05,0.01,"Yes","High School or below","Male","Yes","Married",115,2,3,95,"Others",131,390,216,"No","No",0.77,2653,530,"0"
32,51981,0.04,0.02,"Yes","Master or equivalent","Male","Yes","Single",70,0,4,95,"Others",49,32,46,"No","No",0.51,3809,761,"0"
20,132078,0,0.03,"Yes","Master or equivalent","Female","No","Married",67,0,6,34,"Others",480,142,25,"No","No",0,4954,825,"0"
17,105506,0,0.03,"Yes","Bachelor or equivalent","Female","Yes","Single",115,1,1,5,"Others",215,240,67,"No","Yes",0.17,3496,699,"1"
13,224800,0.02,0.02,"Yes","Bachelor or equivalent","Male","Yes","Single",35,2,1,57,"Non-technology Related Job",363,196,188,"Yes","Yes",0.44,111,55,"0"
38,67825,0.06,0.01,"Yes","Bachelor or equivalent","Male","Yes","Single",63,1,7,73,"Technology Related Job",306,439,102,"No","No",0.96,3636,909,"1"
28,111698,0.05,0.01,"Yes","Bachelor or equivalent","Male","Yes","Married",77,1,7,58,"Others",270,418,228,"No","No",0.53,4961,708,"0"
46,64849,0.05,0.03,"Yes","High School or below","Female","Yes","Married",91,3,4,83,"Technology Related Job",186,335,158,"No","No",0.74,7065,883,"0"
32,144484,0.01,0,"Yes","High School or below","Female","No","Single",35,3,7,27,"Non-technology Related Job",145,111,202,"No","No",0.44,317,317,"0"
26,21489,0.04,0.01,"Yes","Bachelor or equivalent","Female","Yes","Single",29,2,1,29,"Technology Related Job",33,132,74,"No","No",0.51,227,113,"1"
18,143732,0.04,0,"Yes","High School or below","Female","No","Single",12,3,4,77,"Non-technology Related Job",435,307,49,"No","No",0.98,2340,585,"1"
43,61429,0.06,0.02,"Yes","Bachelor or equivalent","Male","Yes","Single",16,1,5,70,"Technology Related Job",294,283,57,"No","No",0.86,5305,884,"0"
77,30608,0.01,0.01,"Yes","Bachelor or equivalent","Male","No","Single",5,3,6,18,"Technology Related Job",353,310,243,"No","Yes",0.76,7158,715,"1"
74,39586,0.04,0.01,"Yes","Master or equivalent","Male","Yes","Married",93,1,0,55,"Others",420,450,87,"No","No",0.33,2962,423,"0"
50,158533,0.06,0.03,"Yes","High School or below","Male","Yes","Single",93,3,0,48,"Technology Related Job",441,447,88,"No","No",0.36,330,330,"1"
20,142630,0.04,0.02,"Yes","High School or below","Male","Yes","Single",89,1,0,82,"Others",310,211,208,"No","No",0.12,384,384,"0"
74,10010,0.04,0.01,"Yes","Bachelor or equivalent","Male","No","Single",80,3,1,7,"Non-technology Related Job",274,56,100,"No","No",0.58,6590,732,"1"
23,155318,0.04,0.01,"Yes","High School or below","Male","Yes","Single",15,0,1,63,"Non-technology Related Job",464,94,201,"No","No",0.13,1200,1200,"1"
74,75713,0.06,0.02,"Yes","Master or equivalent","Female","No","Married",46,2,3,22,"Technology Related Job",201,314,235,"No","No",0.72,428,428,"1"
25,248337,0.03,0.02,"Yes","PhD or equivalent","Male","Yes","Single",32,2,3,13,"Non-technology Related Job",160,282,217,"No","No",0.57,8111,675,"1"
55,137770,0.06,0.02,"Yes","High School or below","Male","Yes","Single",43,3,3,68,"Technology Related Job",202,491,113,"No","No",0.39,1223,611,"0"
40,166280,0.03,0.02,"Yes","High School or below","Female","Yes","Married",33,1,4,66,"Non-technology Related Job",124,62,65,"No","No",0.54,1002,1002,"0"
33,16448,0.02,0.02,"Yes","Master or equivalent","Female","Yes","Married",67,1,4,24,"Technology Related Job",458,153,190,"No","No",0.34,4140,690,"0"
17,212805,0.03,0.03,"Yes","Bachelor or equivalent","Female","Yes","Single",62,2,0,21,"Non-technology Related Job",28,126,192,"No","No",0.31,6999,777,"1"
62,84263,0.05,0.02,"Yes","High School or below","Male","Yes","Married",68,1,1,30,"Others",236,169,120,"Yes","Yes",0.86,5619,802,"0"
17,57356,0,0.02,"Yes","Bachelor or equivalent","Female","Yes","Single",100,3,6,72,"Technology Related Job",338,416,90,"No","No",0.95,947,473,"1"
23,216086,0.02,0.02,"Yes","Bachelor or equivalent","Female","Yes","Married",42,3,0,58,"Technology Related Job",126,362,51,"No","No",0.41,8185,909,"0"
71,200627,0.05,0.03,"Yes","High School or below","Female","No","Single",21,0,3,16,"Others",268,75,79,"No","No",0.84,567,567,"0"
21,207230,0.06,0.01,"Yes","High School or below","Male","Yes","Married",13,2,6,2,"Others",112,374,2,"No","No",0.39,1225,1225,"1"
49,215005,0,0.02,"Yes","High School or below","Female","No","Single",48,3,0,23,"Technology Related Job",490,485,56,"No","No",0.86,2216,554,"1"
24,91252,0.05,0.01,"Yes","High School or below","Female","Yes","Single",59,2,0,56,"Others",4,204,216,"Yes","Yes",0.6,5951,850,"1"
61,232346,0.05,0.02,"Yes","Bachelor or equivalent","Male","Yes","Married",77,3,5,35,"Non-technology Related Job",419,444,18,"No","No",0.15,1922,640,"1"
69,53630,0.04,0.01,"Yes","High School or below","Male","Yes","Married",18,3,3,11,"Technology Related Job",468,232,74,"No","Yes",0.18,4533,566,"0"
38,138105,0.01,0,"Yes","Bachelor or equivalent","Female","Yes","Single",25,3,4,19,"Technology Related Job",375,119,104,"No","No",0.57,2953,590,"0"
65,200880,0.04,0.03,"Yes","Bachelor or equivalent","Male","Yes","Married",97,1,0,97,"Others",37,378,231,"No","No",0.81,3663,732,"1"
51,36640,0,0,"Yes","High School or below","Female","Yes","Married",95,1,1,68,"Technology Related Job",495,342,220,"No","Yes",0.4,2302,767,"0"
29,9124,0.04,0.03,"Yes","Master or equivalent","Male","Yes","Married",60,0,7,69,"Non-technology Related Job",58,268,23,"Yes","No",0.53,2497,499,"1"
32,239611,0.05,0,"Yes","Master or equivalent","Male","Yes","Single",107,2,3,80,"Others",404,223,194,"No","No",0.08,4395,488,"0"
66,20285,0.01,0.01,"Yes","Bachelor or equivalent","Female","Yes","Married",63,3,5,36,"Others",386,381,203,"No","Yes",0.51,977,977,"0"
75,233690,0.02,0.03,"Yes","Bachelor or equivalent","Female","Yes","Married",51,3,5,81,"Others",319,234,213,"No","Yes",0.83,3049,508,"1"
15,213608,0.05,0.01,"Yes","Master or equivalent","Male","Yes","Married",23,2,1,10,"Others",381,366,100,"No","No",0.27,2400,600,"1"
76,5391,0.06,0.01,"Yes","High School or below","Female","Yes","Married",19,1,6,88,"Technology Related Job",23,84,197,"No","No",0.87,4250,708,"0"
78,183861,0.02,0,"Yes","High School or below","Female","Yes","Single",80,0,1,51,"Non-technology Related Job",369,493,50,"No","No",0.74,1797,599,"0"
47,137788,0.01,0.03,"Yes","High School or below","Female","Yes","Single",113,2,6,41,"Technology Related Job",402,377,141,"No","No",0.52,4075,1018,"0"
49,107854,0.06,0.02,"Yes","High School or below","Male","Yes","Single",35,3,5,4,"Technology Related Job",135,414,235,"No","No",0.39,5938,742,"1"
52,58917,0.04,0.03,"No","Bachelor or equivalent","Male","Yes","Married",97,1,0,76,"Technology Related Job",148,15,48,"No","No",0.44,883,883,"0"
74,202053,0.05,0.02,"Yes","High School or below","Female","No","Married",21,0,6,32,"Technology Related Job",72,190,113,"No","No",0.72,2243,1121,"0"
35,198322,0.03,0.03,"Yes","Bachelor or equivalent","Female","Yes","Single",46,2,6,6,"Others",454,450,198,"No","No",0.87,2851,712,"0"
36,218087,0,0,"Yes","Bachelor or equivalent","Female","Yes","Single",42,1,4,98,"Non-technology Related Job",420,76,98,"No","No",0.39,4203,840,"0"
47,192657,0.01,0,"Yes","Bachelor or equivalent","Female","No","Single",12,3,3,97,"Others",469,375,107,"No","No",0.88,3526,503,"1"
13,100395,0.04,0.02,"Yes","High School or below","Male","Yes","Married",32,3,2,61,"Technology Related Job",230,45,143,"No","No",0.96,1941,647,"0"
77,247498,0.03,0.03,"Yes","Bachelor or equivalent","Male","Yes","Married",57,1,2,51,"Technology Related Job",340,376,245,"No","No",0.94,5325,591,"0"
39,5509,0.02,0.03,"Yes","High School or below","Female","Yes","Married",98,3,6,81,"Non-technology Related Job",287,404,174,"No","No",0.24,4857,539,"1"
28,18337,0.04,0.02,"Yes","Bachelor or equivalent","Male","Yes","Single",33,2,3,14,"Technology Related Job",194,325,241,"No","No",0.93,3794,758,"1"
32,15,0.01,0.03,"Yes","PhD or equivalent","Male","Yes","Married",75,3,0,32,"Others",274,477,72,"No","No",0.53,3557,889,"1"
35,81511,0.03,0,"Yes","High School or below","Female","Yes","Married",44,1,1,41,"Others",233,151,170,"No","No",0.42,1955,325,"0"
33,5467,0.07,0.02,"Yes","High School or below","Male","Yes","Single",65,2,2,70,"Technology Related Job",139,77,217,"No","Yes",0.9,3310,662,"1"
61,2410,0.07,0,"Yes","High School or below","Male","Yes","Married",34,1,6,33,"Non-technology Related Job",157,426,103,"No","No",0.58,3011,602,"0"
73,207135,0.02,0.02,"Yes","Bachelor or equivalent","Male","Yes","Married",16,1,7,47,"Others",295,496,202,"Yes","No",0.24,3302,825,"1"
18,196889,0.03,0.03,"Yes","High School or below","Female","Yes","Single",1,2,1,47,"Others",444,59,184,"No","No",0.01,3216,643,"0"
55,221618,0.02,0.03,"Yes","Bachelor or equivalent","Male","No","Married",31,1,1,62,"Non-technology Related Job",369,171,197,"No","No",0.67,566,566,"0"
69,2522,0.05,0.03,"Yes","High School or below","Female","No","Married",101,1,0,61,"Technology Related Job",173,191,181,"No","No",0.87,3378,675,"0"
75,73289,0.02,0.03,"Yes","Master or equivalent","Male","No","Single",112,2,0,18,"Others",123,370,127,"No","No",0.39,4398,879,"0"
68,141391,0.06,0.01,"Yes","Bachelor or equivalent","Male","No","Married",17,2,1,22,"Others",220,410,111,"No","No",0.75,2726,1363,"0"
69,155476,0.01,0.02,"Yes","Master or equivalent","Female","Yes","Married",94,0,0,88,"Technology Related Job",418,19,54,"No","No",0.94,4824,804,"0"
44,61000,0,0.01,"Yes","High School or below","Female","Yes","Single",37,3,5,64,"Technology Related Job",305,276,16,"No","No",0.52,707,707,"1"
51,36341,0.02,0,"Yes","Bachelor or equivalent","Male","No","Married",14,3,7,62,"Others",223,486,36,"No","No",0.5,1156,1156,"1"
13,52098,0.03,0.01,"Yes","High School or below","Female","Yes","Married",83,0,2,32,"Others",395,407,112,"No","No",0.08,4604,767,"0"
34,191532,0,0.03,"Yes","Master or equivalent","Female","Yes","Single",7,0,6,65,"Non-technology Related Job",396,338,88,"No","No",0.8,1973,657,"1"
25,170463,0.03,0.02,"Yes","Bachelor or equivalent","Female","Yes","Married",70,2,5,36,"Non-technology Related Job",179,249,199,"No","No",0.94,4995,713,"0"
28,180657,0.04,0.03,"Yes","Bachelor or equivalent","Female","Yes","Married",27,1,5,96,"Others",387,250,212,"No","No",0.66,2326,775,"1"
67,246906,0.05,0.01,"Yes","High School or below","Female","Yes","Married",19,1,2,32,"Technology Related Job",108,113,34,"No","No",0.61,2737,391,"0"
76,244094,0.05,0.02,"Yes","Bachelor or equivalent","Male","Yes","Married",18,3,2,33,"Others",190,488,92,"No","No",0.28,2648,662,"1"
32,62533,0,0.01,"Yes","High School or below","Female","No","Single",92,1,6,43,"Others",378,101,229,"No","No",0.62,1264,1264,"1"
52,52198,0.04,0.02,"Yes","Master or equivalent","Male","Yes","Married",92,3,6,52,"Technology Related Job",458,340,60,"No","No",0.31,442,442,"0"
39,237809,0.07,0.03,"Yes","High School or below","Female","Yes","Single",92,2,1,3,"Others",278,153,212,"No","No",0.67,4265,710,"0"
37,223556,0.06,0.02,"Yes","High School or below","Female","Yes","Single",70,1,5,31,"Others",26,340,191,"No","No",0.99,4874,609,"0"
16,64504,0.06,0,"Yes","PhD or equivalent","Male","No","Married",84,3,0,2,"Others",18,98,119,"No","No",0.41,3872,553,"1"
12,235633,0.04,0.01,"Yes","High School or below","Female","Yes","Married",102,0,7,16,"Others",223,457,107,"No","No",0.23,169,169,"0"
48,113088,0,0.02,"Yes","Bachelor or equivalent","Female","No","Single",57,2,4,29,"Non-technology Related Job",172,260,205,"No","No",0.15,4524,646,"0"
53,4939,0.02,0.02,"Yes","Bachelor or equivalent","Female","Yes","Single",110,1,2,22,"Non-technology Related Job",45,359,59,"Yes","No",0.23,4000,666,"0"
61,157859,0.02,0,"Yes","High School or below","Female","Yes","Married",116,0,0,81,"Others",346,136,206,"No","No",0.93,7467,746,"1"
26,95547,0.01,0.03,"Yes","Master or equivalent","Male","Yes","Single",10,0,7,77,"Others",116,434,96,"No","No",0.39,2505,501,"1"
51,36341,0.02,0,"Yes","Bachelor or equivalent","Male","No","Married",14,3,7,62,"Others",223,486,36,"No","No",0.5,2723,680,"1"
30,155675,0.06,0.01,"Yes","PhD or equivalent","Female","Yes","Single",47,3,7,74,"Others",126,441,40,"No","No",0.61,2998,999,"1"
