model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,failed_main_inspection,condition
 Golf,2015,12350,Semi-Auto,21457,Petrol,30,53.3,1.4,VW,0.0,5
 Q3,2019,31990,Automatic,3672,Petrol,145,31.4,2.0,Audi,0.0,2
 A Class,2015,10914,Manual,49327,Diesel,30,64.2,2.1,Mercedes,0.0,3
 A3,2013,10941,Manual,33876,Petrol,30,58.9,1.4,Audi,0.0,4
 B Class,2019,21549,Semi-Auto,11544,Petrol,145,45.6,1.3,Mercedes,0.0,1
 A4,2015,15995,Manual,31029,Diesel,145,55.4,2.0,Audi,0.0,5
 Q5,2018,33990,Semi-Auto,9600,Petrol,145,40.4,2.0,Audi,0.0,1
 X1,2013,10995,Manual,21313,Petrol,200,40.9,2.0,BMW,0.0,1
 Golf,2016,10791,Manual,39720,Diesel,0,74.3,1.6,VW,0.0,1
 Polo,2016,8082,Manual,38203,Petrol,20,60.1,1.0,VW,0.0,3
 C Class,2019,19980,Semi-Auto,11139,Petrol,145,46.3,1.5,Mercedes,0.0,1
 Q5,2017,27245,Semi-Auto,50185,Diesel,145,55.4,2.0,Audi,1.0,4
 Golf,2017,18000,Automatic,29920,Diesel,150,57.7,2.0,VW,0.0,1
 C Class,2017,23952,Automatic,16113,Diesel,145,58.9,2.1,Mercedes,0.0,5
 C Class,2019,25349,Semi-Auto,7337,Petrol,145,46.3,1.5,Mercedes,0.0,2
 Golf,2017,14789,Manual,20735,Diesel,145,67.3,2.0,VW,1.0,3
 C Class,2019,26899,Automatic,636,Petrol,145,45.6,1.5,Mercedes,0.0,1
 A5,2018,24825,Semi-Auto,21354,Petrol,145,50.4,2.0,Audi,0.0,5
 A Class,2018,19950,Automatic,71,Diesel,145,65.7,1.5,Mercedes,0.0,2
 C Class,2018,23249,Automatic,6979,Petrol,145,46.3,1.5,Mercedes,0.0,1
 Q3,2018,19991,Semi-Auto,16444,Petrol,145,47.9,1.4,Audi,0.0,1
 Golf,2015,12340,Semi-Auto,12106,Petrol,30,56.5,1.4,VW,0.0,4
 Polo,2017,13499,Semi-Auto,5320,Petrol,150,60.1,1.2,VW,1.0,3
 C Class,2018,25000,Semi-Auto,8920,Diesel,145,67.3,2.1,Mercedes,0.0,2
 C Class,2019,28880,Automatic,5859,Petrol,145,46.3,1.5,Mercedes,0.0,1
 B Class,2019,19295,Semi-Auto,9312,Petrol,145,45.6,1.3,Mercedes,0.0,4
 CL Class,2017,18890,Manual,14741,Diesel,20,67.3,2.1,Mercedes,0.0,2
 Scirocco,2015,14295,Semi-Auto,50183,Diesel,125,53.3,2.0,VW,1.0,3
 Golf,2017,18998,Manual,22304,Petrol,145,47.1,2.0,VW,1.0,3
 C Class,2019,29124,Semi-Auto,2100,Petrol,145,47.1,1.5,Mercedes,0.0,3
 Golf,2016,17490,Semi-Auto,20000,Diesel,30,62.8,2.0,VW,0.0,1
 Up,2016,7000,Manual,30692,Petrol,20,61.4,1.0,VW,0.0,3
 Q5,2016,22995,Semi-Auto,15418,Diesel,200,47.1,2.0,Audi,0.0,2
 A6,2019,46000,Automatic,5284,Diesel,145,36.2,3.0,Audi,0.0,2
 Golf,2016,12398,Manual,16588,Petrol,30,53.3,1.4,VW,0.0,2
 A5,2018,27992,Automatic,14971,Diesel,145,62.8,2.0,Audi,0.0,1
 B Class,2017,14998,Semi-Auto,28716,Petrol,150,51.4,1.6,Mercedes,0.0,3
 GLA Class,2018,20999,Automatic,9008,Diesel,145,56.5,2.1,Mercedes,0.0,2
 Up,2013,5470,Manual,22714,Petrol,20,60.1,1.0,VW,0.0,1
 Polo,2013,7850,Manual,12281,Petrol,145,47.9,1.4,VW,0.0,2
 GLC Class,2018,32399,Semi-Auto,7120,Diesel,145,56.5,2.1,Mercedes,0.0,1
 C Class,2017,17499,Automatic,22887,Hybrid,135,134.5,2.0,Mercedes,0.0,2
 A Class,2015,11498,Manual,26118,Diesel,0,74.3,1.5,Mercedes,0.0,1
 A Class,2015,11200,Automatic,31020,Diesel,20,68.9,2.1,Mercedes,0.0,1
 A3,2019,20500,Manual,3084,Petrol,150,47.9,1.0,Audi,0.0,1
 Golf,2016,20500,Manual,15200,Petrol,200,39.8,2.0,VW,0.0,1
 A4,2017,19750,Semi-Auto,7844,Petrol,30,53.3,2.0,Audi,0.0,1
 A1,2013,8999,Semi-Auto,39557,Petrol,125,53.3,1.4,Audi,0.0,4
 E Class,2017,18250,Automatic,28072,Diesel,150,72.4,2.0,Mercedes,0.0,2
 Golf,2015,15500,Manual,26891,Diesel,20,67.3,2.0,VW,0.0,4
 Passat,2015,9995,Manual,71400,Diesel,20,68.9,2.0,VW,1.0,2
 Golf,2017,13990,Manual,8868,Petrol,30,54.3,1.4,VW,0.0,3
 A Class,2019,22799,Manual,52,Petrol,145,28.5,1.3,Mercedes,0.0,2
 A1,2017,13200,Manual,31219,Diesel,145,76.3,1.6,Audi,1.0,5
 Q2,2017,23500,Semi-Auto,32226,Diesel,145,58.9,2.0,Audi,0.0,3
 B Class,2019,21980,Semi-Auto,5865,Petrol,145,45.6,1.3,Mercedes,0.0,1
 E Class,2019,24965,Automatic,11926,Diesel,145,72.4,2.0,Mercedes,0.0,1
 GLC Class,2019,37680,Automatic,3916,Diesel,145,40.9,2.0,Mercedes,0.0,5
 E Class,2018,23480,Automatic,10816,Diesel,145,61.4,2.0,Mercedes,0.0,5
 A3,2019,20491,Manual,12993,Petrol,145,47.1,1.0,Audi,1.0,3
 A Class,2019,19549,Semi-Auto,8144,Diesel,150,68.9,1.5,Mercedes,0.0,5
 Golf,2016,12495,Manual,16036,Petrol,30,53.3,1.4,VW,0.0,5
 C Class,2019,20149,Semi-Auto,9427,Petrol,145,46.3,1.5,Mercedes,0.0,3
 A Class,2019,22599,Semi-Auto,2137,Diesel,145,62.8,1.5,Mercedes,0.0,4
 Golf,2012,6495,Manual,52964,Diesel,30,64.2,1.6,VW,0.0,1
 C Class,2019,25899,Semi-Auto,3024,Petrol,145,42.2,2.0,Mercedes,0.0,1
 Q7,2020,54995,Semi-Auto,1091,Diesel,145,33.2,3.0,Audi,0.0,1
 V Class,2019,46949,Semi-Auto,2400,Diesel,145,44.8,2.2,Mercedes,0.0,1
 Up,2015,7100,Manual,29195,Petrol,20,61.4,1.0,VW,0.0,1
 A Class,2017,14830,Automatic,31545,Diesel,20,74.3,1.5,Mercedes,0.0,3
 Q7,2018,45000,Automatic,5272,Diesel,145,33.2,3.0,Audi,0.0,1
 C Class,2016,15999,Semi-Auto,7200,Diesel,20,65.7,2.1,Mercedes,0.0,1
 A1,2016,12650,Manual,16154,Petrol,30,55.4,1.4,Audi,0.0,3
 A5,2019,27888,Automatic,1200,Petrol,145,39.8,2.0,Audi,0.0,3
 A3,2019,20400,Manual,4429,Diesel,145,51.4,1.6,Audi,0.0,4
 C Class,2019,29496,Automatic,4841,Diesel,145,54.3,2.0,Mercedes,0.0,1
 A1,2017,19991,Manual,19200,Diesel,145,76.3,1.6,Audi,0.0,1
 E Class,2016,18995,Automatic,8800,Diesel,125,58.9,2.1,Mercedes,0.0,5
 C Class,2017,24995,Automatic,15600,Diesel,150,58.9,2.1,Mercedes,0.0,3
 A Class,2016,15999,Automatic,23660,Diesel,20,68.9,2.1,Mercedes,1.0,2
 Tiguan,2016,13498,Semi-Auto,30132,Diesel,160,49.6,2.0,VW,0.0,1
 Golf,2016,15499,Automatic,41324,Diesel,30,62.8,2.0,VW,0.0,1
 GLC Class,2019,31900,Semi-Auto,7116,Diesel,145,41.5,2.1,Mercedes,0.0,2
 Golf,2013,8199,Automatic,37688,Diesel,30,62.8,1.6,VW,0.0,1
 Golf,2017,14375,Automatic,16840,Petrol,150,55.4,1.4,VW,1.0,3
 Golf,2017,16000,Semi-Auto,32561,Diesel,30,62.8,2.0,VW,0.0,3
 Q3,2013,8995,Manual,58752,Diesel,150,54.3,2.0,Audi,0.0,5
 C Class,2018,19900,Automatic,16000,Petrol,145,48.7,2.0,Mercedes,0.0,3
 Touareg,2015,17488,Automatic,48060,Diesel,240,42.8,3.0,VW,0.0,4
 A6,2019,28000,Automatic,4000,Diesel,145,47.9,2.0,Audi,0.0,2
 A Class,2020,25990,Semi-Auto,1119,Diesel,145,65.7,1.5,Mercedes,0.0,2
 Passat,2014,9491,Manual,25295,Diesel,30,61.4,2.0,VW,0.0,4
 C Class,2019,25799,Semi-Auto,160,Petrol,145,45.6,1.5,Mercedes,0.0,1
 Q5,2019,31490,Automatic,4000,Diesel,145,39.2,2.0,Audi,0.0,1
 A3,2014,10895,Semi-Auto,26400,Diesel,20,72.4,1.6,Audi,0.0,4
 A1,2017,10700,Manual,47978,Petrol,145,67.3,1.0,Audi,0.0,1
 GLA Class,2016,19330,Automatic,28340,Diesel,125,56.5,2.1,Mercedes,0.0,1
 Golf,2017,13222,Manual,21039,Diesel,20,67.3,2.0,VW,0.0,4
 Golf,2015,9912,Manual,42799,Petrol,30,53.3,1.4,VW,0.0,3
 C Class,2016,22995,Semi-Auto,24009,Diesel,20,67.3,2.1,Mercedes,0.0,3
 Polo,2017,9445,Manual,25073,Petrol,145,60.1,1.0,VW,0.0,3
 A Class,2019,23399,Manual,772,Petrol,145,47.1,1.3,Mercedes,0.0,5
 Q2,2020,23888,Manual,3200,Petrol,145,43.5,1.5,Audi,0.0,3
 A Class,2020,26000,Semi-Auto,3400,Petrol,145,53.3,1.3,Mercedes,0.0,1
 CL Class,2014,20990,Semi-Auto,56418,Petrol,200,39.8,2.0,Mercedes,0.0,4
 5 Series,2010,9250,Automatic,84000,Diesel,235,43.5,3.0,BMW,0.0,1
 Polo,2017,11699,Manual,22000,Petrol,150,65.7,1.0,VW,0.0,4
 Golf SV,2016,11490,Manual,20821,Petrol,30,55.4,1.4,VW,0.0,5
 A1,2017,10465,Manual,62061,Diesel,0,76.3,1.6,Audi,1.0,2
 Golf SV,2014,10292,Semi-Auto,33160,Petrol,125,54.3,1.4,VW,0.0,1
 Q5,2018,31000,Automatic,4801,Diesel,145,38.2,2.0,Audi,0.0,1
 A6,2019,30985,Automatic,3556,Diesel,145,47.9,2.0,Audi,0.0,1
 A3,2019,22990,Manual,4902,Diesel,145,55.4,2.0,Audi,0.0,1
 A1,2015,11300,Manual,16453,Petrol,30,57.6,1.4,Audi,0.0,1
 Polo,2017,10451,Manual,20132,Petrol,150,60.1,1.0,VW,0.0,3
 Up,2017,9000,Manual,6763,Petrol,20,64.2,1.0,VW,0.0,4
 C Class,2014,13791,Semi-Auto,42515,Diesel,20,64.2,2.1,Mercedes,0.0,5
 A6,2019,34750,Semi-Auto,619,Diesel,145,39.8,3.0,Audi,0.0,2
 Polo,2013,5995,Manual,55291,Petrol,125,51.4,1.2,VW,1.0,4
 C Class,2019,30950,Automatic,80,Diesel,145,55.4,2.0,Mercedes,0.0,5
 A Class,2014,9853,Manual,50704,Diesel,30,62.8,1.8,Mercedes,0.0,1
 Golf,2016,13495,Manual,13180,Petrol,30,53.3,1.4,VW,0.0,1
 Q7,2019,47916,Automatic,7192,Diesel,145,32.8,3.0,Audi,0.0,2
 C Class,2016,14700,Automatic,22874,Diesel,20,65.7,2.1,Mercedes,0.0,3
 Polo,2017,9995,Manual,14625,Petrol,145,58.9,1.0,VW,0.0,5
 Golf,2017,22495,Semi-Auto,3600,Petrol,145,44.1,2.0,VW,0.0,1
 Polo,2017,11990,Semi-Auto,19455,Petrol,20,60.1,1.2,VW,0.0,1
 Q2,2017,15900,Manual,24800,Petrol,150,55.4,1.0,Audi,0.0,1
 Q5,2015,17700,Semi-Auto,45268,Diesel,200,47.1,2.0,Audi,0.0,1
 A4,2019,29485,Semi-Auto,3403,Petrol,145,38.2,2.0,Audi,0.0,5
 A1,2020,20999,Manual,4800,Petrol,150,47.9,1.0,Audi,0.0,3
 Passat,2017,16700,Manual,14192,Petrol,145,52.3,1.4,VW,0.0,1
 Golf,2016,20350,Semi-Auto,21964,Petrol,200,40.4,2.0,VW,0.0,4
 Golf,2017,13221,Manual,21800,Diesel,150,72.4,1.6,VW,0.0,1
 A1,2016,11698,Manual,9262,Petrol,0,67.3,1.0,Audi,0.0,1
 Polo,2017,10746,Manual,20959,Petrol,145,60.1,1.2,VW,0.0,3
 C Class,2016,17999,Automatic,34402,Hybrid,0,74.3,2.1,Mercedes,0.0,4
 Polo,2017,9495,Manual,26712,Petrol,20,60.1,1.2,VW,0.0,3
 Golf,2016,12221,Manual,21963,Petrol,30,53.3,1.4,VW,0.0,1
 Passat,2016,12499,Manual,62834,Diesel,20,67.3,2.0,VW,1.0,2
 C Class,2019,26176,Semi-Auto,11385,Petrol,145,47.1,1.5,Mercedes,0.0,1
 3 Series,2013,8490,Manual,54862,Diesel,30,61.4,2.0,BMW,0.0,4
 C Class,2016,15679,Automatic,48495,Hybrid,0,134.5,2.0,Mercedes,0.0,4
 A1,2016,12991,Manual,24256,Petrol,30,58.9,1.4,Audi,0.0,5
 A Class,2019,24480,Semi-Auto,12,Diesel,145,67.3,1.5,Mercedes,0.0,1
 GLE Class,2019,46549,Semi-Auto,6565,Diesel,145,36.7,2.0,Mercedes,0.0,1
 A1,2019,20000,Manual,8528,Petrol,150,46.3,1.5,Audi,0.0,1
 SL CLASS,2020,39995,Semi-Auto,200,Petrol,145,35.8,2.0,Mercedes,0.0,1
 A6,2013,8399,Manual,66637,Diesel,145,56.5,2.0,Audi,0.0,2
 CLS Class,2015,19698,Semi-Auto,35314,Diesel,160,51.4,3.0,Mercedes,0.0,3
 A3,2018,18450,Manual,14699,Petrol,150,60.1,1.0,Audi,1.0,5
 A6,2014,16450,Semi-Auto,46160,Diesel,30,61.4,2.0,Audi,0.0,1
 A Class,2016,12750,Manual,22031,Petrol,125,51.4,1.6,Mercedes,0.0,5
 Polo,2016,10298,Manual,26727,Petrol,0,65.7,1.0,VW,0.0,2
 E Class,2019,34400,Automatic,8347,Diesel,150,48.7,2.9,Mercedes,0.0,5
 Golf,2017,12975,Manual,20323,Petrol,150,54.3,1.4,VW,0.0,1
 A6,2015,15990,Automatic,33440,Diesel,20,67.3,2.0,Audi,0.0,1
 TT,2016,21241,Semi-Auto,15528,Petrol,160,43.5,2.0,Audi,0.0,1
 Polo,2017,10450,Manual,12794,Petrol,150,60.1,1.0,VW,0.0,2
 Polo,2016,9799,Manual,26342,Petrol,20,60.1,1.2,VW,0.0,1
 A4,2019,25826,Semi-Auto,7184,Diesel,145,44.8,2.0,Audi,0.0,3
 A Class,2018,21282,Semi-Auto,9538,Petrol,145,53.3,1.3,Mercedes,0.0,2
 Q3,2017,15600,Manual,29371,Petrol,125,51.4,1.4,Audi,0.0,1
 GLA Class,2019,23945,Semi-Auto,9413,Petrol,145,50.4,1.6,Mercedes,0.0,1
 Q3,2018,25490,Semi-Auto,7440,Petrol,150,45.6,1.4,Audi,0.0,1
 A3,2015,12498,Manual,54509,Diesel,30,65.7,2.0,Audi,0.0,3
 Q2,2017,18930,Automatic,11405,Petrol,145,54.3,1.4,Audi,0.0,2
 A1,2019,22450,Semi-Auto,4850,Petrol,150,47.1,1.0,Audi,0.0,1
 Q3,2019,24995,Manual,4529,Diesel,145,42.8,2.0,Audi,0.0,1
 Polo,2015,8799,Manual,36680,Petrol,20,60.1,1.2,VW,1.0,5
 Golf,2017,19152,Semi-Auto,16988,Diesel,30,62.8,2.0,VW,0.0,5
 E Class,2019,29480,Semi-Auto,6287,Diesel,145,61.4,2.0,Mercedes,0.0,1
 E Class,2018,29500,Semi-Auto,8200,Diesel,145,57.7,2.0,Mercedes,0.0,1
 C Class,2019,31276,Automatic,8398,Petrol,145,44.1,2.0,Mercedes,1.0,3
 Polo,2017,10995,Manual,14956,Petrol,150,60.1,1.0,VW,0.0,3
 Q3,2017,20000,Automatic,27664,Petrol,150,47.9,1.4,Audi,1.0,5
 A Class,2019,34999,Semi-Auto,1352,Petrol,145,36.7,2.0,Mercedes,0.0,2
 A6,2016,17998,Manual,26545,Diesel,30,61.4,2.0,Audi,0.0,1
 GLC Class,2019,36000,Semi-Auto,5169,Diesel,145,40.9,2.0,Mercedes,0.0,1
 Passat,2016,9292,Manual,83200,Diesel,20,67.3,2.0,VW,0.0,2
 A4,2019,24250,Automatic,3680,Diesel,145,51.4,2.0,Audi,0.0,5
 A3,2018,25700,Automatic,23042,Petrol,145,43.5,2.0,Audi,0.0,3
 GLE Class,2019,59812,Semi-Auto,2714,Petrol,145,29.5,3.0,Mercedes,0.0,4
 Q7,2020,82995,Semi-Auto,660,Diesel,145,29.4,4.0,Audi,0.0,2
 A5,2014,16948,Automatic,40000,Diesel,165,49.6,3.0,Audi,0.0,2
 C Class,2019,30399,Semi-Auto,7863,Diesel,145,54.3,2.0,Mercedes,0.0,4
 Polo,2014,8298,Semi-Auto,42120,Petrol,20,60.1,1.2,VW,0.0,3
 Golf,2016,16790,Semi-Auto,24527,Diesel,30,62.8,2.0,VW,0.0,1
 A6,2016,17336,Automatic,49694,Diesel,145,56.5,2.0,Audi,0.0,1
 A3,2017,17990,Manual,25328,Petrol,145,60.1,1.4,Audi,1.0,1
 A Class,2020,25729,Semi-Auto,800,Petrol,145,53.3,1.3,Mercedes,0.0,1
 A3,2017,17255,Manual,20888,Petrol,30,60.1,1.4,Audi,0.0,1
 Golf,2017,12690,Manual,23017,Petrol,145,54.3,1.4,VW,0.0,1
 A1,2019,23166,Semi-Auto,5332,Petrol,145,40.9,2.0,Audi,0.0,3
 GLC Class,2017,24994,Automatic,7893,Diesel,145,56.5,2.1,Mercedes,0.0,1
 Golf,2017,14995,Manual,14417,Petrol,145,55.4,1.5,VW,0.0,3
 A3,2019,18000,Manual,4400,Diesel,145,49.6,1.6,Audi,0.0,2
 A3,2019,21490,Semi-Auto,9721,Petrol,150,42.2,1.5,Audi,0.0,2
 Q5,2019,39999,Automatic,3600,Diesel,145,38.2,2.0,Audi,0.0,3
 A6,2019,36991,Automatic,1600,Diesel,145,50.4,2.0,Audi,0.0,3
 B Class,2019,23999,Automatic,1747,Diesel,145,55.4,2.0,Mercedes,0.0,2
 Polo,2016,9990,Manual,11844,Petrol,20,60.1,1.2,VW,0.0,3
 A4,2020,43000,Automatic,2400,Diesel,145,40.4,3.0,Audi,0.0,1
 A5,2017,19999,Manual,9504,Petrol,145,49.6,2.0,Audi,0.0,5
 Q2,2020,25888,Semi-Auto,3200,Petrol,145,42.2,1.5,Audi,0.0,1
 A1,2016,11995,Manual,30801,Petrol,30,57.6,1.4,Audi,0.0,1
 C Class,2019,28900,Automatic,9224,Diesel,145,57.7,2.0,Mercedes,0.0,1
 A Class,2016,15199,Manual,23880,Diesel,20,68.9,1.5,Mercedes,0.0,5
 V Class,2019,20950,Manual,28,Diesel,145,46.3,2.1,Mercedes,0.0,2
 SL CLASS,2019,29730,Semi-Auto,120,Petrol,145,47.1,2.0,Mercedes,0.0,2
 E Class,2016,17998,Semi-Auto,45628,Diesel,30,65.7,2.0,Mercedes,0.0,3
 A Class,2015,13959,Manual,22440,Petrol,145,49.6,1.6,Mercedes,0.0,1
 A1,2015,9199,Manual,41855,Diesel,0,80.7,1.6,Audi,0.0,2
 C Class,2017,16995,Semi-Auto,15497,Diesel,145,64.2,1.6,Mercedes,0.0,4
 A1,2017,14995,Semi-Auto,8000,Petrol,20,64.2,1.0,Audi,0.0,1
 A3,2018,18998,Manual,7294,Petrol,145,58.9,1.4,Audi,0.0,1
 TT,2016,16490,Manual,32480,Diesel,30,61.4,2.0,Audi,0.0,3
 C Class,2019,28315,Semi-Auto,8033,Diesel,145,56.5,2.0,Mercedes,0.0,1
 E Class,2016,15990,Automatic,57600,Diesel,30,65.7,2.0,Mercedes,0.0,2
 Q7,2016,33995,Semi-Auto,27748,Diesel,200,47.9,3.0,Audi,0.0,2
 Golf,2017,13980,Manual,13233,Petrol,150,54.3,1.4,VW,0.0,2
 GLA Class,2019,28987,Automatic,1252,Petrol,145,35.8,1.6,Mercedes,0.0,1
 A Class,2016,13950,Manual,49600,Diesel,20,68.9,1.5,Mercedes,0.0,3
 Golf,2016,14998,Manual,32231,Diesel,20,67.3,2.0,VW,0.0,1
 A Class,2017,17500,Semi-Auto,15200,Petrol,125,53.3,1.6,Mercedes,0.0,2
 Golf,2016,11495,Manual,29100,Diesel,0,74.3,1.6,VW,0.0,1
 Q3,2019,27280,Manual,2400,Diesel,145,42.8,2.0,Audi,0.0,1
 E Class,2016,17995,Automatic,55972,Diesel,30,65.7,2.0,Mercedes,1.0,3
 Passat,2016,11300,Manual,66974,Diesel,20,68.9,2.0,VW,1.0,4
 C Class,2019,25749,Semi-Auto,11098,Diesel,145,61.4,2.0,Mercedes,0.0,3
 A4,2019,25850,Automatic,3165,Petrol,145,38.2,2.0,Audi,0.0,5
 A1,2016,10988,Manual,32374,Petrol,30,55.4,1.4,Audi,0.0,2
 Polo,2015,7110,Manual,14984,Petrol,20,60.1,1.0,VW,0.0,1
 Polo,2016,8499,Manual,36000,Petrol,20,60.1,1.2,VW,0.0,1
 Polo,2017,14211,Manual,20319,Petrol,150,47.0,1.8,VW,0.0,4
 Polo,2015,8989,Manual,15737,Petrol,20,60.1,1.2,VW,0.0,2
 Golf,2017,21498,Semi-Auto,20290,Petrol,145,44.8,2.0,VW,0.0,1
 A3,2016,11646,Manual,23690,Diesel,0,83.1,1.6,Audi,0.0,1
 A1,2017,13998,Manual,23001,Petrol,150,58.9,1.4,Audi,0.0,1
 Tiguan,2016,14298,Manual,47350,Diesel,145,53.3,2.0,VW,1.0,4
 GLA Class,2017,16000,Manual,27708,Diesel,30,64.2,0.0,Mercedes,0.0,1
 Golf,2016,10999,Manual,35352,Diesel,0,74.3,1.6,VW,1.0,5
 GLC Class,2016,19490,Semi-Auto,47553,Diesel,125,56.5,2.1,Mercedes,0.0,2
 SL CLASS,2017,20490,Semi-Auto,6982,Diesel,145,70.6,2.1,Mercedes,0.0,1
 Polo,2015,8399,Manual,34690,Diesel,0,60.1,1.4,VW,0.0,4
 A Class,2017,15999,Automatic,18579,Diesel,20,74.3,1.5,Mercedes,0.0,2
 A3,2017,18896,Manual,9777,Diesel,125,57.6,2.0,Audi,0.0,5
 Q7,2019,44212,Semi-Auto,4800,Diesel,145,33.2,3.0,Audi,0.0,2
 B Class,2015,10995,Manual,22400,Diesel,20,67.3,1.5,Mercedes,0.0,4
 Q2,2019,22990,Semi-Auto,14730,Petrol,145,40.9,1.5,Audi,0.0,1
 C Class,2019,25799,Automatic,1741,Petrol,145,47.1,1.5,Mercedes,0.0,1
 Golf,2015,17982,Semi-Auto,41693,Petrol,200,39.8,2.0,VW,0.0,4
 Golf,2017,20000,Automatic,48018,Petrol,200,40.4,2.0,VW,1.0,5
 Golf,2017,14698,Manual,43565,Diesel,20,67.3,2.0,VW,0.0,3
 A Class,2020,24107,Automatic,2800,Diesel,145,62.8,1.5,Mercedes,0.0,1
 C Class,2019,29980,Semi-Auto,6967,Diesel,145,57.7,2.0,Mercedes,0.0,1
 A Class,2019,24660,Semi-Auto,4324,Petrol,150,53.3,1.3,Mercedes,0.0,3
 GLC Class,2019,32919,Semi-Auto,800,Diesel,145,44.8,2.0,Mercedes,0.0,2
 A5,2019,26940,Automatic,55,Diesel,145,62.8,2.0,Audi,0.0,5
 A4,2019,46450,Automatic,1600,Diesel,145,39.2,3.0,Audi,0.0,1
 E Class,2017,23480,Semi-Auto,19197,Diesel,145,65.7,2.0,Mercedes,0.0,1
 E Class,2017,22399,Semi-Auto,10627,Diesel,145,65.7,2.0,Mercedes,0.0,1
 3 Series,2013,11385,Manual,64983,Diesel,30,62.8,2.0,BMW,1.0,4
 C Class,2019,31999,Automatic,2400,Diesel,145,48.7,2.0,Mercedes,0.0,1
 A3,2019,22382,Manual,3481,Diesel,145,51.4,1.6,Audi,0.0,2
 C Class,2015,16998,Semi-Auto,53436,Hybrid,0,74.3,2.1,Mercedes,0.0,2
 A4,2018,17990,Manual,11914,Petrol,145,50.4,1.4,Audi,0.0,2
 Up,2013,5500,Manual,18467,Petrol,20,62.8,1.0,VW,0.0,1
 E Class,2019,25490,Semi-Auto,2408,Diesel,145,67.3,2.0,Mercedes,0.0,1
 C Class,2019,35791,Automatic,2328,Diesel,145,64.2,2.0,Mercedes,0.0,2
 GLA Class,2019,29990,Automatic,80,Diesel,145,56.5,2.1,Mercedes,0.0,1
 A3,2019,21000,Manual,3600,Diesel,145,51.4,1.6,Audi,0.0,1
 E Class,2018,20800,Automatic,24932,Diesel,150,72.4,2.0,Mercedes,0.0,1
 E Class,2018,27999,Semi-Auto,4136,Diesel,145,58.9,2.0,Mercedes,0.0,1
 Q5,2016,19495,Semi-Auto,32359,Diesel,200,47.1,2.0,Audi,0.0,1
 Q3,2015,15499,Manual,43436,Diesel,145,52.3,2.0,Audi,0.0,4
 Passat,2017,25500,Semi-Auto,17920,Hybrid,135,166.0,1.4,VW,0.0,1
 C Class,2019,27299,Automatic,2067,Diesel,145,58.9,1.6,Mercedes,0.0,5
 Polo,2017,9990,Manual,10319,Petrol,20,60.1,1.2,VW,0.0,1
 E Class,2017,21199,Semi-Auto,20196,Diesel,145,67.3,2.0,Mercedes,0.0,3
 V Class,2016,30449,Automatic,38400,Diesel,235,44.8,2.2,Mercedes,0.0,2
 Passat,2017,14242,Semi-Auto,26826,Diesel,30,62.8,2.0,VW,0.0,1
 A3,2019,32400,Semi-Auto,316,Petrol,150,34.9,2.0,Audi,0.0,1
 Q2,2019,21172,Manual,4799,Diesel,145,49.6,1.6,Audi,0.0,1
 GLC Class,2016,27995,Semi-Auto,20544,Diesel,125,56.5,2.1,Mercedes,0.0,3
 Golf,2017,13995,Semi-Auto,14000,Petrol,150,55.4,1.4,VW,0.0,1
 Golf,2015,11000,Manual,127805,Diesel,20,67.3,2.0,VW,1.0,4
 E Class,2019,28449,Semi-Auto,10222,Diesel,145,58.9,2.0,Mercedes,0.0,3
 1 Series,2013,11999,Automatic,26400,Diesel,30,64.2,2.0,BMW,0.0,5
 Scirocco,2014,12699,Semi-Auto,26964,Diesel,145,50.4,2.0,VW,0.0,3
 A Class,2016,14499,Semi-Auto,28850,Diesel,20,70.6,2.1,Mercedes,0.0,2
 Q2,2019,23995,Automatic,6356,Diesel,145,47.9,1.6,Audi,0.0,2
 SL CLASS,2016,19812,Semi-Auto,17164,Petrol,145,47.9,2.0,Mercedes,0.0,3
 E Class,2016,18995,Automatic,19017,Diesel,125,58.9,2.1,Mercedes,0.0,5
 C Class,2020,44995,Semi-Auto,200,Petrol,145,42.2,2.0,Mercedes,0.0,3
 A5,2020,40990,Semi-Auto,2320,Diesel,145,44.8,2.0,Audi,0.0,2
 A5,2019,28990,Automatic,6515,Diesel,145,45.6,2.0,Audi,1.0,5
 C Class,2017,34981,Semi-Auto,22539,Petrol,300,33.6,4.0,Mercedes,0.0,4
 Q5,2020,60000,Semi-Auto,2400,Diesel,145,32.5,3.0,Audi,0.0,2
 C Class,2015,15490,Automatic,27200,Diesel,20,64.2,2.1,Mercedes,0.0,1
 Polo,2016,9300,Manual,23724,Petrol,20,60.1,1.2,VW,0.0,2
 A4,2017,14498,Manual,12714,Petrol,145,51.4,1.4,Audi,0.0,3
 A4,2013,10498,Manual,24935,Petrol,145,49.6,1.8,Audi,0.0,2
 GLA Class,2016,17500,Automatic,22128,Diesel,125,56.5,2.1,Mercedes,0.0,1
 A Class,2019,23509,Semi-Auto,4208,Diesel,145,67.3,1.5,Mercedes,0.0,3
 A4,2016,14798,Manual,26303,Diesel,0,74.3,2.0,Audi,0.0,1
 Touran,2017,17423,Automatic,10962,Diesel,145,65.7,1.6,VW,0.0,3
 Tiguan,2017,16679,Manual,35074,Diesel,125,58.9,2.0,VW,0.0,5
 TT,2016,19485,Manual,22721,Diesel,30,62.8,2.0,Audi,0.0,2
